feature,value,0,1,2,3,4
attn_0_3_outputs,</s>,-0.15132244,0.3435115,0.24555518,0.100319125,0.055699106
attn_0_3_outputs,<pad>,0.6866271,0.35268852,-0.18367575,0.5269693,0.8533194
attn_0_3_outputs,<s>,-0.18662055,0.2343821,0.20373727,0.07124914,-0.109281704
attn_0_3_outputs,_,-0.28249264,-0.14970978,0.34677222,0.2841427,-0.2381378
attn_0_3_outputs,_,0.18214741,0.078825004,0.3099209,0.30808824,0.34446663
attn_0_3_outputs,_,-0.19203061,0.37074944,-0.051788177,0.19292873,-0.18519282
attn_0_3_outputs,_,0.10101747,0.036105845,-0.0716226,0.01627741,0.23655798
attn_0_3_outputs,_,-0.14067785,-0.87997043,-0.37835148,-0.31737164,0.10672207
attn_0_3_outputs,_,-0.4700763,-0.3801135,0.11660742,-0.16311245,-0.46595842
attn_0_3_outputs,_,-0.4499374,-0.3018064,0.14803469,0.1743377,-0.337475
attn_0_3_outputs,_,0.022975717,-0.033214025,0.014117141,-0.0029646659,0.73198104
attn_0_3_outputs,_,-0.48405436,0.1825573,0.111225605,0.41160527,-0.06341082
attn_0_3_outputs,_,0.113644905,0.17066136,-0.28799495,-0.10027997,0.043073088
attn_0_3_outputs,_,0.06576589,0.5715316,-0.33555487,-0.10825532,-0.34920982
attn_0_3_outputs,_,0.018790329,-0.6803981,-0.4576754,0.20054059,0.009652708
attn_0_3_outputs,_,-0.36127654,0.079024725,0.2500319,0.43313116,0.77998805
attn_0_3_outputs,_,-0.3152848,-0.50397104,0.035911754,-0.11948166,0.6805871
