feature,value,1,2,3,4,5,6
num_mlp_0_0_outputs,5,-3.891266,1.4981784,1.7716929,0.96476567,-1.0719694,-3.215107
num_mlp_0_0_outputs,6,3.0989008,2.795939,-1.2701881,-2.416548,-1.4362128,-2.263312
num_mlp_0_0_outputs,7,4.153153,-3.7058854,-1.5165579,-0.4352034,-0.29749602,-0.78831327
num_mlp_0_0_outputs,8,3.1062045,-2.1782944,0.04512579,-0.65432817,-0.8480612,-0.44644228
num_mlp_0_0_outputs,9,5.157625,-4.1670823,-2.8685982,-0.73734194,0.5989951,-0.14892782
num_mlp_0_1_outputs,0,2.321021,2.6042984,-3.0276484,-1.8345983,-0.87802863,-1.0829961
num_mlp_0_1_outputs,1,1.794182,1.7485559,-2.7999232,-1.4897128,-1.3653852,-0.531616
num_mlp_0_1_outputs,10,0.79559225,1.4596248,-0.8438742,-0.79312295,-1.1783803,-1.0500326
num_mlp_0_1_outputs,11,2.24663,2.861267,-2.7696695,-3.5622373,-0.5366107,-0.94848084
num_mlp_0_1_outputs,12,0.4659845,-0.7338532,8.043533,-2.810232,-18.536024,-17.107649
num_mlp_0_1_outputs,13,1.7965364,1.9443305,-2.1792674,-2.6240273,-1.2770089,-0.9527898
num_mlp_0_1_outputs,14,1.6187682,2.004225,-1.3423762,-1.3671243,-0.49918455,-0.94887173
num_mlp_0_1_outputs,15,-0.54620516,-4.1929555,-1.3216774,8.1583605,1.9796517,-5.495554
num_mlp_0_1_outputs,16,0.4040679,0.8406076,0.8755599,-2.5910432,-1.8777514,-0.8272049
num_mlp_0_1_outputs,17,1.430149,1.5542244,-2.111603,-1.3289785,-0.8876214,-0.25168413
num_mlp_0_1_outputs,18,0.1896654,0.3396793,5.4729023,-6.901153,-5.36329,-4.2319856
num_mlp_0_1_outputs,19,1.0461628,1.3603721,4.54198,-10.952955,-3.7123163,-2.099178
num_mlp_0_1_outputs,2,0.1477563,0.64456457,-0.38592103,-0.7462866,-0.67415875,-0.81625825
num_mlp_0_1_outputs,3,2.0787563,2.471911,-3.081299,-3.0092022,-1.1536081,-0.4884565
num_mlp_0_1_outputs,4,1.0388691,1.9226778,-0.5671153,-1.8467894,-0.53504497,-0.56325674
num_mlp_0_1_outputs,5,2.7238984,2.1700127,-4.298654,-2.9387407,-0.51150775,-0.4106004
num_mlp_0_1_outputs,6,2.5730677,2.8275054,-3.0701659,-1.8623606,-0.7780526,-0.821313
num_mlp_0_1_outputs,7,0.6548269,1.5385098,-1.2551185,-2.1928306,-1.1524608,-0.7355097
num_mlp_0_1_outputs,8,1.1161675,1.6533773,-1.6772416,-1.9250765,-0.2738423,-1.1477473
num_mlp_0_1_outputs,9,5.7107987,0.3438145,-4.982416,-4.4715915,-2.2349277,-0.45421988
ones,_,2.2766688,4.022715,-0.24554336,-3.5380538,-5.616868,-9.904957
positions,0,0.22035158,0.14872235,0.90918815,-0.1938567,-0.4346974,-0.0708473
positions,1,2.0798202,3.0716846,-0.81581604,-3.960091,-5.6715736,-8.972399
positions,10,-0.4986386,0.41012722,-0.06314299,0.7760449,0.5899012,0.2838918
positions,11,-0.28677884,0.61472666,-0.37259272,0.6992068,0.16460033,-0.0070236796
positions,12,0.7780947,-0.65172535,-0.05987213,-0.54877555,0.8289404,0.007906212
positions,13,-0.53776836,0.28715613,-0.21416897,-0.13648328,0.042263646,0.4913977
positions,14,0.2558882,-0.51585937,0.45592278,-0.12373354,0.19150703,-0.21074325
positions,15,0.29797676,0.3020956,-0.19843833,-0.05698777,0.44311857,0.08577659
positions,16,-0.11287085,0.015544894,-0.121343814,0.44449016,-0.36643744,0.31485948
positions,17,-0.10537796,0.24870686,-0.21146028,-0.10305708,0.60534596,-0.40967137
positions,18,-0.091615975,-0.043984354,-0.905555,-0.5901144,-0.20805664,0.20113888
positions,19,1.067593,-0.016203528,-0.022066109,0.19983117,-0.08608239,-0.3652139
positions,2,2.3553493,3.4365625,-0.44691104,-3.5889404,-5.3096805,-8.589916
positions,3,2.0997474,3.3167686,-0.5746543,-3.70913,-5.437686,-8.645582
positions,4,2.2852886,3.4091504,-0.47274148,-3.6350362,-5.363349,-8.574786
positions,5,2.2380679,3.405736,-0.38448045,-3.483392,-5.211732,-8.566294
positions,6,1.9842926,3.3380408,-0.37922394,-3.4107533,-5.088281,-8.473727
positions,7,1.869557,3.4254496,-0.2514333,-3.2220528,-4.8658447,-8.434031
positions,8,1.7691269,3.4002173,-0.24339354,-3.195758,-4.7239113,-8.058184
positions,9,1.9686629,3.8449025,0.21659075,-2.6807587,-4.293203,-7.4565806
tokens,0,1.6251309,2.4104214,-0.5020183,-3.3148456,-4.2460413,-6.0492425
tokens,1,2.5887554,2.7394676,-0.19224483,-2.8773448,-4.0267773,-5.8635902
tokens,2,2.4851866,2.8733528,-0.14233086,-2.9877164,-4.337574,-6.3017983
tokens,3,2.6740193,2.971137,-0.45237866,-3.6705165,-4.954899,-6.985032
tokens,4,1.5017161,3.2284417,-0.19905181,-3.1396713,-4.5577145,-6.83249
tokens,5,2.474378,2.9646845,-0.23095408,-3.2873917,-4.513501,-6.0537314
